_id,หน่วยงาน,กลุ่มป่า,ชื่อเครือข่าย,หมู่บ้าน,หมู่ที่,ตำบล,อำเภอ,จังหวัด,จำนวนสมาชิก
77,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านวังแจง,14,ขุนช่อง,แก่งหางแมว,จันทบุรี,
78,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านคลองใหม่ ,15,ขุนช่อง,แก่งหางแมว,จันทบุรี,
79,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านขุนซ่อง,2,ขุนช่อง,แก่งหางแมว,จันทบุรี,20
80,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านขุนซ่อง,3,ขุนช่อง,แก่งหางแมว,จันทบุรี,
81,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านหางแมว,4,ขุนช่อง,แก่งหางแมว,จันทบุรี,
82,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านโคกวัด,5,ขุนช่อง,แก่งหางแมว,จันทบุรี,
83,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านหนองเตียน,6,ขุนช่อง,แก่งหางแมว,จันทบุรี,
84,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านหนองเสม็ด ,12,ขุนช่อง,แก่งหางแมว,จันทบุรี,
85,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 5 บ้านโอ่งแตก,บ้านหินดาด,8,ขุนช่อง,แก่งหางแมว,จันทบุรี,22
86,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 5 บ้านโอ่งแตก,บ้านตลาด,16,ขุนช่อง,แก่งหางแมว,จันทบุรี,
87,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 5 บ้านโอ่งแตก,บ้านโอ่งแตก ,16,ขุนช่อง,แก่งหางแมว,จันทบุรี,
88,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 6 บ้านทุ่งยายทอง,บ้านโป่งยาง,7,แก่งหางแมว,แก่งหางแมว,จันทบุรี,44
89,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 6 บ้านทุ่งยายทอง,บ้านแสงทอง ,13,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
90,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 6 บ้านทุ่งยายทอง,บ้านทุ่งยายทอง ,21,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
91,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 7 บ้านเกาะลอย,บ้านเขาส้มป่อย,5,แก่งหางแมว,แก่งหางแมว,จันทบุรี,45
92,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 7 บ้านเกาะลอย,บ้านเกาะลอย ,12,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
93,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 7 บ้านเกาะลอย,บ้านเนินกระบก ,20,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
94,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 8 บ้านคลองกลอย,บ้านตาหน่อง,1,แก่งหางแมว,แก่งหางแมว,จันทบุรี,22
95,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 8 บ้านคลองกลอย,บ้านช่องกะพัด,2,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
96,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 8 บ้านคลองกลอย,บ้านโป่งขนมจีน,4,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
97,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 8 บ้านคลองกลอย,บ้านคลองกลอย,16,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
98,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 9 บ้านนาบุญ,บ้านโป่งวัว ,6,แก่งหางแมว,แก่งหางแมว,จันทบุรี,49
99,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 9 บ้านนาบุญ,บ้านหนองบัวทอง,9,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
100,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 9 บ้านนาบุญ,บ้านอ่างมะกรูด,10,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
101,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 9 บ้านนาบุญ,บ้านวังใหม่,14,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
102,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 9 บ้านนาบุญ,บ้านนาบุญ,18,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
103,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านแก่ง,3,แก่งหางแมว,แก่งหางแมว,จันทบุรี,24
104,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านคลองตาขิง,8,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
105,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านวังตาเมือง ,11,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
106,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านคลองเรือ,15,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
107,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านเจริญสุข ,17,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
108,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านต้นไทร,19,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
109,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 10 บ้านวังแก่ง,บ้านวังแก่ง  ,22,แก่งหางแมว,แก่งหางแมว,จันทบุรี,
110,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองหิน,บ้านคลองหิน,1,ห้วยทับมอญ,เขาชะเมา,ระยอง,22
111,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านน้ำใส,บ้านน้ำใส,2,น้ำเป็น,เขาชะเมา,ระยอง,21
112,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านน้ำเป็น,บ้านน้ำเป็น,6,น้ำเป็น,เขาชะเมา,ระยอง,21
113,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเหมืองแร่,บ้านเหมืองแร่,4,น้ำเป็น,เขาชะเมา,ระยอง,24
114,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองหินเพลิง,บ้านคลองหินเพลิง,7,พวา,แก่งหางแมว,จันทบุรี,20
115,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขาวงกต,บ้านเขาวงกต,1,เขาวงกต,แก่งหางแมว,จันทบุรี,20
116,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเนินสุขสำรอง,บ้านเนินสุขสำรอง,9,ทุ่งควายกิน,แกลง,ระยอง,20
117,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านสำนักยาง,บ้านสำนักยาง,6,บ้านนา,แกลง,ระยอง,20
118,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านชุมนุมสูง,บ้านชุมนุมสูง,7,ทุ่งควายกิน,แกลง,ระยอง,23
119,อช.เขาชะเมา-เขาวง,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรัษ์ชุมชนบ้านเขาน้อย,บ้านเขาน้อย,5,เขาน้อย ,เขาชะเมา,ระยอง,12
120,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านด่านชุมพล,ด่านชุมพล,1,ด่านชุมพล,บ่อไร่,ตราด,21
121,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวงศ์พัฒนา,วงศ์พัฒนา,4,สะตอ,เขาสมิง,ตราด,15
122,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านปะอา,ปะอา,2,บ่อพลอย,บ่อไร่,ตราด,20
123,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านตรอกเกษร,ตรอกเกษร,2,หนองบอน,บ่อไร่,ตราด,21
124,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เเครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านซอยแสงธารา,บ้านคลองแสง,3,ด่านชุมพล,บ่อไร่,ตราด,10
125,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหนองมาตร,หนองมาตร,4,ช้างทูน,บ่อไร่,ตราด,20
126,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านทุ่งกราด,ทุ่งกราด,8,สะตอ,เขาสมิง,ตราด,21
127,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านท่ากุ่ม-ตะกาง,ตะกาง,3,ตะกาง,เมืองตราด,ตราด,45
128,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านมะม่วง-คลองโอน,บ้านมะม่วง,3,นนทรีย์,บ่อไร่,ตราด,20
129,อช.น้ำตกคลองแก้ว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านทุ่งตอง,ทุ่งตอง,5,นนทรีย์,บ่อไร่,ตราด,20
130,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคทับนคร-คลองขวาวัฒนา,ทับนคร ,6,ปัถวี,มะขาม,จันทบุรี,20
131,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคทับนคร-คลองขวาวัฒนา,คลองขวาวัฒนา,9,ปัถวี,มะขาม,จันทบุรี,
132,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหินลาด(คลองฉาย-ตากรี),หินลาด,8,ปัถวี,มะขาม,จันทบุรี,24
133,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านพญากำพุช,พญากำพุช,2,โป่งน้ำร้อน,โป่งน้ำร้อน,จันทบุรี,35
134,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านสะพานหินบน,สะพานหินบน,3,บ่อเวฬุ,ขลุง,จันทบุรี,20
135,ขสป.คลองเครือหวาย,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวันทอง,วันทอง,8,ตกพรม,ขลุง,จันทบุรี,21
136,อุทยานแห่งชาติเขาคิชฌกูฏ,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มนาฬาคีริง,ชำตาเรือง,7,คลองพลู,เขาคิชฌกูฏ,จันทบุรี,27
137,อุทยานแห่งชาติเขาคิชฌกูฏ,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มคชสาร,บ้านน้ำขุ่น,2,คลองพลู,เขาคิชฌกูฏ,จันทบุรี,21
138,อุทยานแห่งชาติเขาคิชฌกูฏ,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มฉมันทีม,บ้านตะบกเตี้ย,7,ฉมัน,มะขาม,จันทบุรี,31
139,อุทยานแห่งชาติเขาคิชฌกูฏ,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มชุดคลองพลู,บ้านคลองตาอิน,9,คลองพลู,เขาคิชฌกูฏ,จันทบุรี,26
140,อุทยานแห่งชาติเขาคิชฌกูฏ,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มเพื่อนช้าง 69,บ้านแกลง,10,วังแซ้ม,มะขาม,จันทบุรี,33
141,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านโป่งปัด,โป่งปัด,3,ช่องสะเดา,เมือง,กาญจนบุรี,10
142,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้าน แก่งปลากด,แก่งปลากด,5,ช่องสะเดา,เมือง,กาญจนบุรี,10
143,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านวังจาน,วังจาน,8,วังด้ง,เมือง,กาญจนบุรี,16
144,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านหนองหอย,หนองหอย,4,วังด้ง,เมือง,กาญจนบุรี,10
145,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านหินดาด,บ้านหินดาด,7,วังด้ง,เมือง,กาญจนบุรี,10
146,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านเขาพุล้อม,เขาพุล้อม,12,วังด้ง,เมือง,กาญจนบุรี,10
147,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านโป่งรี,โป่งรี,6,หนองรี,บ่อพลอย,กาญจนบุรี,10
148,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านลำอีซู,ลำอีซู,7,หนองรี,บ่อพลอย,กาญจนบุรี,11
149,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านหนองพุพระ,บ้านหนองพุพระ,9,ช่องด่าน,บ่อพลอย,กาญจนบุรี,10
150,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านเขาแดง,เขาแดง,6,ช่องด่าน,บ่อพลอย,กาญจนบุรี,24
151,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านขาสิงโต,เขาสิงโต,10,บ่อพลอย,บ่อพลอย,กาญจนบุรี,10
152,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านพุพรหม,บ้านพุพรหม,10,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,10
153,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านเกาะบุก (หมู่ที่ 1),เกาะบุก,1,หนองเป็ด,ศรีสวัสดิ์    ,กาญจนบุรี,10
154,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านเกาะบุก (หมู่ที่ 2),เกาะบุก,2,หนองเป็ด,ศรีสวัสดิ์    ,กาญจนบุรี,10
155,ขสป.สลักพระ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านทุ่งนา,บ้านทุ่งนา,4,หนองเป็ด,ศรีสวัสดิ์    ,กาญจนบุรี,10
156,อช.ทองผาภูมิ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านปรังกาสี,ปรังกาสี,3,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,33
157,อช.ทองผาภูมิ,กลุ่มป่าตะวันตก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านเสาหงษ์ ,เสารหงษ์ ,2,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,30
